example_id,term_id,example_en,example_jp,difficulty_tag
EX0145,TERM0145,"Assuming a parallel shift in the yield curve, an investor needs to interpret the Asset-Backed Security of the bond portfolio.",イールドカーブのパラレルシフトを仮定すると、投資家は債券ポートフォリオの「資産担保証券」をinterpretする必要がある。,Medium
EX0146,TERM0146,The candidate should be able to assume the concept of Derivative in the context of the going concern assumption.,受験者は、the going concern assumptionの文脈で「デリバティブ」の概念をassumeできる必要がある。,Medium
EX0147,TERM0147,The candidate should be able to compare the concept of Forward Contract in the context of the required return.,受験者は、the required returnの文脈で「先渡契約」の概念をcompareできる必要がある。,Medium
EX0148,TERM0148,The candidate should be able to calculate the concept of Futures Contract in the context of the impact on the IPS.,受験者は、the impact on the IPSの文脈で「先物契約」の概念をcalculateできる必要がある。,Medium
EX0149,TERM0149,The candidate should be able to interpret the concept of Option in the context of the effect on ROE.,受験者は、the effect on ROEの文脈で「オプション」の概念をinterpretできる必要がある。,Medium
EX0150,TERM0150,The candidate should be able to interpret the concept of Call Option in the context of the credit spread.,受験者は、the credit spreadの文脈で「コールオプション」の概念をinterpretできる必要がある。,Medium
EX0151,TERM0151,The candidate should be able to interpret the concept of Put Option in the context of the impact on the IPS.,受験者は、the impact on the IPSの文脈で「プットオプション」の概念をinterpretできる必要がある。,Medium
EX0152,TERM0152,The candidate should be able to analyze the concept of Strike Price in the context of the effect on ROE.,受験者は、the effect on ROEの文脈で「行使価格」の概念をanalyzeできる必要がある。,Medium
EX0153,TERM0153,The candidate should be able to estimate the concept of Option Premium in the context of the effect on ROE.,受験者は、the effect on ROEの文脈で「オプションプレミアム」の概念をestimateできる必要がある。,Medium
EX0154,TERM0154,The candidate should be able to analyze the concept of Intrinsic Value (Option) in the context of the impact on the IPS.,受験者は、the impact on the IPSの文脈で「本質的価値（オプション）」の概念をanalyzeできる必要がある。,Medium
EX0155,TERM0155,The candidate should be able to interpret the concept of Time Value (Option) in the context of the impact on the IPS.,受験者は、the impact on the IPSの文脈で「時間価値（オプション）」の概念をinterpretできる必要がある。,Medium
EX0156,TERM0156,The candidate should be able to assume the concept of In-the-Money in the context of the going concern assumption.,受験者は、the going concern assumptionの文脈で「イン・ザ・マネー」の概念をassumeできる必要がある。,Medium
EX0157,TERM0157,The candidate should be able to calculate the concept of Out-of-the-Money in the context of the credit spread.,受験者は、the credit spreadの文脈で「アウト・オブ・ザ・マネー」の概念をcalculateできる必要がある。,Medium
EX0158,TERM0158,The candidate should be able to interpret the concept of At-the-Money in the context of the required return.,受験者は、the required returnの文脈で「アット・ザ・マネー」の概念をinterpretできる必要がある。,Medium
EX0159,TERM0159,The candidate should be able to analyze the concept of Swap in the context of the effect on ROE.,受験者は、the effect on ROEの文脈で「スワップ」の概念をanalyzeできる必要がある。,Medium
EX0160,TERM0160,The candidate should be able to describe the concept of Interest Rate Swap in the context of the effect on ROE.,受験者は、the effect on ROEの文脈で「金利スワップ」の概念をdescribeできる必要がある。,Medium
EX0161,TERM0161,The candidate should be able to describe the concept of Currency Swap in the context of the impact on the IPS.,受験者は、the impact on the IPSの文脈で「通貨スワップ」の概念をdescribeできる必要がある。,Medium
EX0162,TERM0162,The candidate should be able to interpret the concept of Hedging in the context of the credit spread.,受験者は、the credit spreadの文脈で「ヘッジ」の概念をinterpretできる必要がある。,Medium
EX0163,TERM0163,The candidate should be able to compare the concept of Speculation in the context of the credit spread.,受験者は、the credit spreadの文脈で「投機」の概念をcompareできる必要がある。,Medium
EX0164,TERM0164,The candidate should be able to assume the concept of Arbitrage in the context of the impact on the IPS.,受験者は、the impact on the IPSの文脈で「裁定取引」の概念をassumeできる必要がある。,Medium
EX0165,TERM0165,The candidate should be able to interpret the concept of Put-Call Parity in the context of the required return.,受験者は、the required returnの文脈で「プット・コール・パリティ」の概念をinterpretできる必要がある。,Medium
EX0166,TERM0166,The candidate should be able to interpret the concept of European Option in the context of the credit spread.,受験者は、the credit spreadの文脈で「ヨーロピアンオプション」の概念をinterpretできる必要がある。,Medium
EX0167,TERM0167,The candidate should be able to estimate the concept of American Option in the context of the credit spread.,受験者は、the credit spreadの文脈で「アメリカンオプション」の概念をestimateできる必要がある。,Medium
EX0168,TERM0168,The candidate should be able to describe the concept of Moneyness in the context of the required return.,受験者は、the required returnの文脈で「マネーネス」の概念をdescribeできる必要がある。,Medium
EX0169,TERM0169,The candidate should be able to assume the concept of Notional Principal in the context of the effect on ROE.,受験者は、the effect on ROEの文脈で「想定元本」の概念をassumeできる必要がある。,Medium
EX0170,TERM0170,The candidate should be able to analyze the concept of Marking to Market in the context of the effect on ROE.,受験者は、the effect on ROEの文脈で「値洗い」の概念をanalyzeできる必要がある。,Medium
EX0171,TERM0171,The candidate should be able to analyze the concept of Alternative Investment in the context of the credit spread.,受験者は、the credit spreadの文脈で「オルタナティブ投資」の概念をanalyzeできる必要がある。,Medium
EX0172,TERM0172,The candidate should be able to describe the concept of Private Equity in the context of the credit spread.,受験者は、the credit spreadの文脈で「プライベートエクイティ」の概念をdescribeできる必要がある。,Medium
EX0173,TERM0173,The candidate should be able to analyze the concept of Venture Capital in the context of the going concern assumption.,受験者は、the going concern assumptionの文脈で「ベンチャーキャピタル」の概念をanalyzeできる必要がある。,Medium
EX0174,TERM0174,The candidate should be able to estimate the concept of Leveraged Buyout in the context of the impact on the IPS.,受験者は、the impact on the IPSの文脈で「レバレッジド・バイアウト」の概念をestimateできる必要がある。,Medium
EX0175,TERM0175,The candidate should be able to estimate the concept of Hedge Fund in the context of the required return.,受験者は、the required returnの文脈で「ヘッジファンド」の概念をestimateできる必要がある。,Medium
EX0176,TERM0176,The candidate should be able to compare the concept of Real Estate Investment in the context of the required return.,受験者は、the required returnの文脈で「不動産投資」の概念をcompareできる必要がある。,Medium
EX0177,TERM0177,The candidate should be able to analyze the concept of Real Estate Investment Trust in the context of the going concern assumption.,受験者は、the going concern assumptionの文脈で「不動産投資信託」の概念をanalyzeできる必要がある。,Medium
EX0178,TERM0178,The candidate should be able to compare the concept of Commodity in the context of the credit spread.,受験者は、the credit spreadの文脈で「コモディティ」の概念をcompareできる必要がある。,Medium
EX0179,TERM0179,The candidate should be able to describe the concept of Contango in the context of the impact on the IPS.,受験者は、the impact on the IPSの文脈で「コンタンゴ」の概念をdescribeできる必要がある。,Medium
EX0180,TERM0180,The candidate should be able to compare the concept of Backwardation in the context of the required return.,受験者は、the required returnの文脈で「バックワーデーション」の概念をcompareできる必要がある。,Medium
EX0181,TERM0181,The candidate should be able to compare the concept of Portfolio in the context of the impact on the IPS.,受験者は、the impact on the IPSの文脈で「ポートフォリオ」の概念をcompareできる必要がある。,Medium
EX0182,TERM0182,The candidate should be able to assume the concept of Diversification in the context of the going concern assumption.,受験者は、the going concern assumptionの文脈で「分散投資」の概念をassumeできる必要がある。,Medium
EX0183,TERM0183,The candidate should be able to estimate the concept of Systematic Risk in the context of the effect on ROE.,受験者は、the effect on ROEの文脈で「システマティックリスク」の概念をestimateできる必要がある。,Medium
EX0184,TERM0184,The candidate should be able to calculate the concept of Unsystematic Risk in the context of the impact on the IPS.,受験者は、the impact on the IPSの文脈で「非システマティックリスク」の概念をcalculateできる必要がある。,Medium
EX0185,TERM0185,The candidate should be able to estimate the concept of Beta in the context of the going concern assumption.,受験者は、the going concern assumptionの文脈で「ベータ」の概念をestimateできる必要がある。,Medium
EX0186,TERM0186,The candidate should be able to describe the concept of Capital Asset Pricing Model in the context of the required return.,受験者は、the required returnの文脈で「資本資産価格モデル」の概念をdescribeできる必要がある。,Medium
EX0187,TERM0187,The candidate should be able to interpret the concept of Security Market Line in the context of the credit spread.,受験者は、the credit spreadの文脈で「証券市場線」の概念をinterpretできる必要がある。,Medium
EX0188,TERM0188,The candidate should be able to calculate the concept of Capital Market Line in the context of the required return.,受験者は、the required returnの文脈で「資本市場線」の概念をcalculateできる必要がある。,Medium
EX0189,TERM0189,The candidate should be able to assume the concept of Efficient Frontier in the context of the credit spread.,受験者は、the credit spreadの文脈で「効率的フロンティア」の概念をassumeできる必要がある。,Medium
EX0190,TERM0190,The candidate should be able to assume the concept of Sharpe Ratio in the context of the impact on the IPS.,受験者は、the impact on the IPSの文脈で「シャープレシオ」の概念をassumeできる必要がある。,Medium
EX0191,TERM0191,The candidate should be able to analyze the concept of Treynor Ratio in the context of the impact on the IPS.,受験者は、the impact on the IPSの文脈で「トレイナーレシオ」の概念をanalyzeできる必要がある。,Medium
EX0192,TERM0192,The candidate should be able to analyze the concept of Jensen's Alpha in the context of the impact on the IPS.,受験者は、the impact on the IPSの文脈で「ジェンセンのアルファ」の概念をanalyzeできる必要がある。,Medium
EX0193,TERM0193,The candidate should be able to analyze the concept of Information Ratio in the context of the impact on the IPS.,受験者は、the impact on the IPSの文脈で「インフォメーションレシオ」の概念をanalyzeできる必要がある。,Medium
EX0194,TERM0194,The candidate should be able to describe the concept of Tracking Error in the context of the impact on the IPS.,受験者は、the impact on the IPSの文脈で「トラッキングエラー」の概念をdescribeできる必要がある。,Medium
EX0195,TERM0195,The candidate should be able to compare the concept of Risk-Free Rate in the context of the credit spread.,受験者は、the credit spreadの文脈で「リスクフリーレート」の概念をcompareできる必要がある。,Medium
EX0196,TERM0196,The candidate should be able to describe the concept of Market Portfolio in the context of the going concern assumption.,受験者は、the going concern assumptionの文脈で「市場ポートフォリオ」の概念をdescribeできる必要がある。,Medium
EX0197,TERM0197,The candidate should be able to assume the concept of Asset Allocation in the context of the credit spread.,受験者は、the credit spreadの文脈で「資産配分」の概念をassumeできる必要がある。,Medium
EX0198,TERM0198,The candidate should be able to analyze the concept of Strategic Asset Allocation in the context of the required return.,受験者は、the required returnの文脈で「戦略的資産配分」の概念をanalyzeできる必要がある。,Medium
EX0199,TERM0199,The candidate should be able to analyze the concept of Tactical Asset Allocation in the context of the credit spread.,受験者は、the credit spreadの文脈で「戦術的資産配分」の概念をanalyzeできる必要がある。,Medium
EX0200,TERM0200,The candidate should be able to assume the concept of Rebalancing in the context of the required return.,受験者は、the required returnの文脈で「リバランス」の概念をassumeできる必要がある。,Medium
